2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.852 | INFO     | __main__:init:51 - 复制 samples 知识库文件：成功。
2026-06-16 19:43:11.852 | INFO     | __main__:init:51 - 复制 samples 知识库文件：成功。
2026-06-16 19:43:11.852 | INFO     | __main__:init:51 - 复制 samples 知识库文件：成功。
2026-06-16 19:43:11.852 | INFO     | __main__:init:51 - 复制 samples 知识库文件：成功。
2026-06-16 19:43:11.852 | INFO     | __main__:init:51 - 复制 samples 知识库文件：成功。
2026-06-16 19:43:11.852 | INFO     | __main__:init:51 - 复制 samples 知识库文件：成功。
2026-06-16 19:43:11.852 | INFO     | __main__:init:51 - 复制 samples 知识库文件：成功。
2026-06-16 19:43:11.852 | INFO     | __main__:init:51 - 复制 samples 知识库文件：成功。
2026-06-16 19:43:11.938 | INFO     | __main__:init:53 - 复制 nltl_data：成功。
2026-06-16 19:43:11.938 | INFO     | __main__:init:53 - 复制 nltl_data：成功。
2026-06-16 19:43:11.938 | INFO     | __main__:init:53 - 复制 nltl_data：成功。
2026-06-16 19:43:11.938 | INFO     | __main__:init:53 - 复制 nltl_data：成功。
2026-06-16 19:43:11.938 | INFO     | __main__:init:53 - 复制 nltl_data：成功。
2026-06-16 19:43:11.938 | INFO     | __main__:init:53 - 复制 nltl_data：成功。
2026-06-16 19:43:11.938 | INFO     | __main__:init:53 - 复制 nltl_data：成功。
2026-06-16 19:43:11.938 | INFO     | __main__:init:53 - 复制 nltl_data：成功。
2026-06-16 19:43:11.978 | INFO     | __main__:init:55 - 初始化知识库数据库：成功。
2026-06-16 19:43:11.978 | INFO     | __main__:init:55 - 初始化知识库数据库：成功。
2026-06-16 19:43:11.978 | INFO     | __main__:init:55 - 初始化知识库数据库：成功。
2026-06-16 19:43:11.978 | INFO     | __main__:init:55 - 初始化知识库数据库：成功。
2026-06-16 19:43:11.978 | INFO     | __main__:init:55 - 初始化知识库数据库：成功。
2026-06-16 19:43:11.978 | INFO     | __main__:init:55 - 初始化知识库数据库：成功。
2026-06-16 19:43:11.978 | INFO     | __main__:init:55 - 初始化知识库数据库：成功。
2026-06-16 19:43:11.978 | INFO     | __main__:init:55 - 初始化知识库数据库：成功。
2026-06-16 19:43:12.289 | INFO     | __main__:init:67 - 生成默认配置文件：成功。
2026-06-16 19:43:12.289 | INFO     | __main__:init:67 - 生成默认配置文件：成功。
2026-06-16 19:43:12.289 | INFO     | __main__:init:67 - 生成默认配置文件：成功。
2026-06-16 19:43:12.289 | INFO     | __main__:init:67 - 生成默认配置文件：成功。
2026-06-16 19:43:12.289 | INFO     | __main__:init:67 - 生成默认配置文件：成功。
2026-06-16 19:43:12.289 | INFO     | __main__:init:67 - 生成默认配置文件：成功。
2026-06-16 19:43:12.289 | INFO     | __main__:init:67 - 生成默认配置文件：成功。
2026-06-16 19:43:12.289 | INFO     | __main__:init:67 - 生成默认配置文件：成功。
2026-06-16 19:43:12.290 | WARNING  | __main__:init:68 - 请先检查 model_settings.yaml 里模型平台、LLM模型和Embed模型信息正确
2026-06-16 19:43:12.290 | WARNING  | __main__:init:68 - 请先检查 model_settings.yaml 里模型平台、LLM模型和Embed模型信息正确
2026-06-16 19:43:12.290 | WARNING  | __main__:init:68 - 请先检查 model_settings.yaml 里模型平台、LLM模型和Embed模型信息正确
2026-06-16 19:43:12.290 | WARNING  | __main__:init:68 - 请先检查 model_settings.yaml 里模型平台、LLM模型和Embed模型信息正确
2026-06-16 19:43:12.290 | WARNING  | __main__:init:68 - 请先检查 model_settings.yaml 里模型平台、LLM模型和Embed模型信息正确
2026-06-16 19:43:12.290 | WARNING  | __main__:init:68 - 请先检查 model_settings.yaml 里模型平台、LLM模型和Embed模型信息正确
2026-06-16 19:43:12.290 | WARNING  | __main__:init:68 - 请先检查 model_settings.yaml 里模型平台、LLM模型和Embed模型信息正确
2026-06-16 19:43:12.290 | WARNING  | __main__:init:68 - 请先检查 model_settings.yaml 里模型平台、LLM模型和Embed模型信息正确
2026-06-16 19:43:12.291 | WARNING  | __main__:init:77 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2026-06-16 19:43:12.291 | WARNING  | __main__:init:77 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2026-06-16 19:43:12.291 | WARNING  | __main__:init:77 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2026-06-16 19:43:12.291 | WARNING  | __main__:init:77 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2026-06-16 19:43:12.291 | WARNING  | __main__:init:77 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2026-06-16 19:43:12.291 | WARNING  | __main__:init:77 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2026-06-16 19:43:12.291 | WARNING  | __main__:init:77 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2026-06-16 19:43:12.291 | WARNING  | __main__:init:77 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2026-06-22 12:48:23.436 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.436 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.436 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.438 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.438 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.438 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.438 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.438 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.438 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.488 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.488 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.488 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.488 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.488 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.489 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.489 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.489 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.489 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.489 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.511 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.511 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.511 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.511 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.511 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.512 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.512 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.512 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.512 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.512 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.543 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.543 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.543 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.543 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.543 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.543 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.545 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.545 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.545 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.545 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.545 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.545 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.629 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.629 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.629 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.629 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.629 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.629 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.629 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:23.630 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.630 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.630 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.630 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.630 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.630 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:23.630 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:26.313 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.313 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.313 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.316 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.316 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.316 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.316 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:26.316 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:26.316 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:26.360 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.360 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.360 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.360 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.360 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.361 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:26.361 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:26.361 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:26.361 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:26.361 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:26.379 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.379 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.379 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.379 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.379 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-22 12:48:26.380 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-22 12:48:26.380 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
